Region,District,FirstNation,Community,Water System Name,System Type,Advisory Type,Advisory Reasons,Date Set,Date Revoked ,BAND_NUMBER,BAND_NAME,LONGITUDE,LATITUDE,COORD_SYS,
Alberta,Treaty 8,Little Red River Cree Nation ,Garden River,Garden River,PWS,DNC,"o,8",2011-01-31,2011-02-02,,,,,,
Alberta,Treaty 8,Little Red River Cree Nation ,Garden River,Garden River,PWS,1,"k,8",2011-05-02,2011-05-12,,,,,,
Alberta,Treaty 8,Little Red River Cree Nation ,Garden River,Garden River,PWS,1,"k,8,10,14",2011-07-20,2011-08-26,,,,,,
Alberta,Treaty 8,Little Red River Cree Nation ,Garden River,Garden River,PWS,1,"O,8",2013-04-04,2013-05-10,,,,,,
Alberta,Treaty 8,Little Red River Cree Nation ,Garden River,Garden River,PWS,1,"f,13",2013-08-07,2013-09-04,,,,,,
Ontario,Thunder Bay,GARDEN RIVER FIRST NATION,Garden River Main Village,Garden River,PWS,1,5,2008-05-02,2008-05-07,,,,,,
Ontario,Thunder Bay,GARDEN RIVER FIRST NATION,Garden River Main Village,Garden River Village    ,PWS,1,3,2003-08-15,2003-08-19,,,,,,
Ontario,Southern,CHIPPEWAS OF GEORGINA ISLAND,Georgina Island Community,Georgina Island,PWS,1,2,2007-02-08,2007-11-19,,,,,,
Quebec,,Essipit,Essipit,ESS,PWS,1,4,2013-10-03,2013-11-04,,,,,,
Quebec,,Essipit,Essipit,ESS,PWS,1,6,2003-08-04,2003-10-20,,,,,,
Ontario,Thunder Bay,COUCHICHING FIRST NATION,Couchiching,Giizhikaandag Healing Centre ,SPWS,1,5,2004-04-05,2005-10-03,,,,,,
Pacific,"Coastal District, Health Canada",KWICKSUTAINEUK-AH-KWAW-AH-MISH,Gilford Island Village,Gilford ,PWS,DNC,1,2000-08-01,2008-01-07,,,,,,
Ontario,Thunder Bay,Ginoogaming First Nation,Ginoogaming First Nation,Ginoogaming ,PWS,1,"2,6",2015-09-15,2015-09-25,,,,,,
Ontario,Thunder Bay,Ginoogaming First Nation,Ginoogaming First Nation,Ginoogaming ,PWS,1,5,2014-05-27,2014-06-03,,,,,,
Pacific,"Coastal District, Health Canada",GITANYOW,Kitwancool,Gitanyow ,PWS,1,4,2005-07-21,2005-08-11,,,,,,
Alberta,Treaty 7,Blood,Blood,Gladstone Community Hall,SPWS,1,"2,3,4,6",2006-03-23,2007-11-08,,,,,,
Atlantic,,KINGSCLEAR,Kingsclear,Kingsclear,PWS,1,"1,2,6",2009-10-08,2009-10-22,,,,,,
Pacific,"Central District, Health Canada",LOWER NICOLA,Godie (Aka: Joeyaska),Godie  (Joeyaska) ,PWS,1,4,2004-09-10,2005-07-19,,,,,,
Pacific,"Central District, Health Canada",LOWER NICOLA,Godie (Aka: Joeyaska),Godie  (Joeyaska) ,PWS,1,4,2003-08-22,2004-05-07,,,,,,
Manitoba,,GOD'S LAKE FIRST NATION,God's Lake,God's Lake,PWS,1,4,2005-04-24,2014-04-14,,,,,,
Manitoba,,GOD'S LAKE FIRST NATION,God's Lake,God's Lake,PWS,1,2,2011-07-26,2011-08-02,,,,,,
Manitoba,,GOD'S LAKE FIRST NATION,God's Lake,God's Lake,PWS,1,o,2015-01-31,2015-03-02,,,,,,
Alberta,Treaty 6,Whitefish/Goodfish #128,Goodfish Lake,Goodfish Community Hall ,SPWS,1,4,2008-07-23,2008-08-01,,,,,,
Alberta,Treaty 6,Whitefish/Goodfish #128,Goodfish Lake,Goodfish Community Hall ,SPWS,1,"b,13",2011-07-18,2013-02-25,,,,,,
Alberta,Treaty 6,Whitefish/Goodfish #128,Goodfish Lake,Goodfish Lake No. 1 (Townsite) ,PWS,1,6,2002-10-25,2005-12-09,,,,,,
Saskatchewan,,Gordon FN,Gordon FN,Gordon ,PWS,DNC,5,2014-08-22,2014-09-03,,,,,,
Pacific,"Coastal District, Health Canada",PACHEEDAHT FIRST NATION,Gordon River,Gordon River,PWS,1,4,2007-09-26,2008-04-15,,,,,,
Pacific,"Coastal District, Health Canada",PACHEEDAHT FIRST NATION,Gordon River,Gordon River,PWS,DNC,"1,2",2008-07-25,2008-08-08,,,,,,
Pacific,"Coastal District, Health Canada",PACHEEDAHT FIRST NATION,Gordon River,Gordon River,PWS,1,3,2008-08-08,2010-04-15,,,,,,
Saskatchewan,,Lac La Ronge,Grandmother's Bay,Grandmother's Bay,PWS,1,1,2006-07-06,2006-07-14,,,,,,
Saskatchewan,,Lac La Ronge,Grandmother's Bay,Grandmother's Bay,PWS,1,2,2011-07-15,2011-08-08,,,,,,
Saskatchewan,,Lac La Ronge,Grandmother's Bay,Grandmother's Bay,PWS,1,2,2012-02-15,2012-02-25,,,,,,
Saskatchewan,,Lac La Ronge,Grandmother's Bay,Grandmother's Bay,PWS,1,2,2012-06-27,2012-06-28,,,,,,
Saskatchewan,,Lac La Ronge,Grandmother's Bay,Grandmother's Bay,PWS,1,2,2013-02-06,2013-02-15,,,,,,
Ontario,Thunder Bay,ASUBPEESCHOSEEWAGUNK FIRST NATION,Grassy Narrows First Nation,Grassy Narrows ,PWS,1,4,2011-11-18,2011-11-25,,,,,,
Ontario,Thunder Bay,ASUBPEESCHOSEEWAGUNK FIRST NATION,Grassy Narrows First Nation,Grassy Narrows  ,PWS,1,3,2006-06-16,2006-07-27,,,,,,
Ontario,Thunder Bay,ASUBPEESCHOSEEWAGUNK FIRST NATION,Grassy Narrows First Nation,Grassy Narrows  ,PWS,1,3,2008-07-22,2008-07-28,,,,,,
Ontario,Thunder Bay,ASUBPEESCHOSEEWAGUNK FIRST NATION,Grassy Narrows First Nation,Grassy Narrows  ,PWS,1,4,2013-11-07,2013-11-19,,,,,,
Ontario,Thunder Bay,ASUBPEESCHOSEEWAGUNK FIRST NATION,Grassy Narrows First Nation,Grassy Narrows  ,PWS,1,"2,5,6",2014-06-27,None,,,,,,
Pacific,"Central District, Health Canada",Penticton,PIB  Lower Village,Green Mountain Rd Spring ,SPWS,1,4,2009-09-18,None,,,,,,
Alberta,Treaty 8,Fort McMurray,Fort McMurray-Gregoire Lake,Gregoire Lake Health Centre  ,SPWS,1,4,2006-05-25,2006-06-09,,,,,,
Alberta,Treaty 8,Fort McMurray,Fort McMurray-Gregoire Lake,Gregoire Lake Health Centre  ,SPWS,1,4,2006-08-03,2006-08-24,,,,,,
Alberta,Treaty 8,Fort McMurray,Fort McMurray-Gregoire Lake,Gregoire Lake Health Centre  ,SPWS,1,"b,12",2010-11-04,2011-05-30,,,,,,
Ontario,Thunder Bay,Kiashke Zaaging Anishinaabek,Gull Bay,Gull Bay,PWS,1,"5,6",2009-04-30,None,,,,,,
Pacific,Central District,LYTTON,G'wsep Gas Station,G'wsep Gas Station ,SPWS,DNC,1,2013-02-20,None,,,,,,
Pacific,"Coastal District, Health Canada",OLD MASSETT VILLAGE COUNCIL,Masset,Haida Village ,PWS,1,"3,4",2006-12-14,2007-01-15,,,,,,
Pacific,"Coastal District, Health Canada",Halalt,Halalt,Halalt ,PWS,1,"3,4",2011-06-28,2011-07-12,,,,,,
Pacific,"Northern District, Health Canada",HALFWAY RIVER FIRST NATION,Halfway River,Halfway River ,PWS,1,4,2001-04-01,2003-06-04,,,,,,
Pacific,"Northern District, Health Canada",HALFWAY RIVER FIRST NATION,Halfway River,Halfway River ,PWS,1,4,2001-07-14,2001-11-14,,,,,,
Pacific,"Northern District, Health Canada",HALFWAY RIVER FIRST NATION,Halfway River,Halfway River ,PWS,1,4,2002-09-02,2002-10-21,,,,,,
Saskatchewan,,Lac La Ronge,Hall Lake,Hall Lake ,PWS,1,2,2012-06-27,2012-06-28,,,,,,
Alberta,Treaty 7,Tsuu T'ina Nation,Tsuu T'ina,Harry Dodginghorse Memorial Agriplex ,SPWS,1,O,2012-03-12,2014-03-25,,,,,,
Saskatchewan,,Hatchet Lake,Hatchet Lake,Hatchet Lake,PWS,1,3,2004-12-22,2007-01-25,,,,,,
Saskatchewan,,Hatchet Lake,Hatchet Lake,Hatchet Lake,PWS,1,2,2012-06-27,2012-06-28,,,,,,
Saskatchewan,,Hatchet Lake,Hatchet Lake,Hatchet Lake,PWS,1,1,2012-08-31,2012-09-10,,,,,,
Saskatchewan,,Hatchet Lake,Hatchet Lake,Hatchet Lake,PWS,1,6,2015-09-25,2015-10-01,,,,,,
Alberta,Treaty 8,Dene Tha',Hay Lakes,Hay Lakes,PWS,1,"3,5",2007-03-16,2007-06-20,,,,,,
Alberta,Treaty 8,Dene Tha',Hay Lakes,Hay Lakes,PWS,1,f,2010-02-23,2010-03-23,,,,,,
Alberta,Treaty 8,Dene Tha',Hay Lakes,Hay Lakes ,PWS,1,"3,5",2005-06-27,2006-11-10,,,,,,
Alberta,Treaty 8,Dene Tha',Hay Lakes,Hay Lakes ,PWS,1,J,2010-11-17,2011-01-18,,,,,,
Alberta,Treaty 8,Dene Tha',Hay Lakes,Hay Lakes ,PWS,1,3,2003-01-17,2005-04-15,,,,,,
Alberta,Treaty 6,Heart Lake,Heart Lake,Heart Lake,PWS,DNC,"2,5",2009-04-09,2009-04-17,,,,,,
Alberta,Treaty 6,Heart Lake,Heart Lake,Heart Lake,PWS,DNC,"o,5",2011-05-03,2011-05-09,,,,,,
Alberta,Treaty 8,Heart Lake,Heart Lake,Heart Lake,PWS,1,"q,8",2011-06-06,2011-07-04,,,,,,
Alberta,Treaty 8,Heart Lake,Heart Lake,Heart Lake,PWS,1,"R,8",2013-09-10,2013-10-11,,,,,,
Pacific,"Coastal District, Health Canada",HEILTSUK,Bella Bella,Heiltsuk,PWS,1,5,2004-01-09,2004-01-16,,,,,,
Pacific,"Coastal District, Health Canada",HEILTSUK,Bella Bella,Heiltsuk  ,PWS,1,"4, 2, 5, 6",2004-01-16,2004-11-08,,,,,,
Pacific,"Coastal District, Health Canada",HEILTSUK,Bella Bella,Heiltsuk  ,PWS,1,3,2003-02-05,2003-02-17,,,,,,
Ontario,Southern,HIAWATHA FIRST NATION,Hiawatha,Hiawatha Church ,SPWS,1,1,2015-06-11,2016-06-24,,,,,,
Ontario,Southern,HIAWATHA FIRST NATION,Hiawatha,Hiawatha Park Campground ,SPWS,1,4,2008-07-07,None,,,,,,
Ontario,Southern,HIAWATHA FIRST NATION,Hiawatha,Hiawatha Resturant/Store,SPWS,1,1,2015-06-18,2015-06-29,,,,,,
Ontario,Southern,HIAWATHA FIRST NATION,Hiawatha,Hiawatha Resturant/Store ,SPWS,1,4,2011-12-22,2012-01-10,,,,,,
Alberta,Treaty 7,Siksika Nation,Siksika,Hidden Valley ,PWS,DNC,"o,9",2013-07-11,2013-10-22,,,,,,
Manitoba,,Hollow Water First Nation,HOLLOW WATER,Hollow Water ,PWS,1,"3,5",2008-01-07,2008-01-11,,,,,,
Manitoba,,Hollow Water First Nation,HOLLOW WATER,Hollow Water ,PWS,1,1,2008-07-11,2009-05-07,,,,,,
Manitoba,,Hollow Water First Nation,HOLLOW WATER,Hollow Water ,PWS,1,2,2009-08-10,2009-08-17,,,,,,
Manitoba,1,Hollow Water First Nation,HOLLOW WATER,Hollow Water ,PWS,1,2,2010-01-25,2010-03-09,,,,,,
Manitoba,1,Hollow Water First Nation,HOLLOW WATER,Hollow Water ,PWS,1,2,2010-08-29,2010-11-18,,,,,,
Manitoba,,Hollow Water First Nation,HOLLOW WATER,Hollow Water ,PWS,1,3,2013-08-02,2013-09-18,,,,,,
Manitoba,,Hollow Water First Nation,HOLLOW WATER,Hollow Water ,PWS,1,3,2013-10-03,2013-12-10,,,,,,
Alberta,Treaty 8,Horse Lake ,Horse Lake,Horse Lake,PWS,DNC,2,2008-03-04,2008-03-06,,,,,,
Alberta,Treaty 8,Horse Lake ,Horse Lake,Horse Lake,PWS,1,"K,5",2013-09-27,2013-09-29,,,,,,
Alberta,Treaty 8,Atikameg ,Atikameg,Atikameg ,PWs,1,"m,8",2016-03-31,2016-04-11,,,,,,
Pacific,"Coastal District, Health Canada",HUU-AY-AHT FIRST NATIONS,Huu ay aht,Huu ay aht,PWS,1,"3,4",2004-07-30,2005-11-18,,,,,,
Pacific,"Coastal District, Health Canada",HUU-AY-AHT FIRST NATIONS,Huu ay aht,Huu ay aht,PWS,1,"1,3,5",2011-02-11,2011-05-20,,,,,,
Manitoba,,WUSKWI SIPIHK FIRST NATION,Indian Birch ,Indian Birch ,PWS,1,3,2014-04-24,None,,,,,,
Atlantic,,KINGSCLEAR,Kingsclear,Kingsclear,PWS,1,"2,3",2010-08-30,2010-09-02,,,,,,
Atlantic,,KINGSCLEAR,Kingsclear,Kingsclear,PWS,1,"1,6",2011-04-05,2011-04-07,,,,,,
Atlantic,,KINGSCLEAR,Kingsclear,Kingsclear ,PWS,1,4,2001-07-03,2001-07-19,,,,,,
Atlantic,,INDIAN ISLAND,Indian Island,Indian Island Band Office/Health Centre ,SPWS,1,4,2005-04-07,2016-07-08,,,,,,
Pacific,"Central District, Health Canada",WESTBANK FIRST NATION,Westbank IR 10,IR 10  [serves  ~ 1000],PWS,1,"2,3,4",2004-08-19,2004-08-25,,,,,,
Pacific,"Central District, Health Canada",WESTBANK FIRST NATION,Westbank IR  9,IR 9 [serves > 6000 ],PWS,1,2,2006-06-30,2006-07-02,,,,,,
Pacific,"Central District, Health Canada",OKANAGAN,Irish Creek,Irish Creek/Head of the Lake (75 houses),PWS,1,4,2009-05-08,2010-01-12,,,,,,
Pacific,"Coastal District, Health Canada",Iskut,Iskut,Iskut ,PWS,1,"2,3",2011-06-28,2012-04-25,,,,,,
Alberta,Treaty 8,Driftpile First Nation,Driftpile,J & B Confectionary ,SPWS,1,"B,12",2011-09-22,2013-09-13,,,,,,
Pacific,"Central District, Health Canada",LITTLE SHUSWAP LAKE,Quaaout,Jack Sam Bay  (WW 001),PWS,1,4,2004-07-05,2004-07-10,,,,,,
Pacific,"Central District, Health Canada",LITTLE SHUSWAP LAKE,Quaaout,Jack Sam Bay  (WW 001),PWS,1,4,2005-11-22,2006-03-24,,,,,,
Manitoba,,Kinonjeoshtegon First Nation,Jackhead,Jackhead ,PWS,1,12,2013-08-17,2013-08-29,,,,,,
Pacific,"Central District, Health Canada",SPALLUMCHEEN,Jackpine Subdivision,Jackpine ,PWS,1,4,2004-07-13,2004-07-20,,,,,,
Pacific,"Northern District, Health Canada",XENI GWET'IN F.NATIONS GOVT,Xeni Gwet'in,James Lulua Infiltration Gallery,PWS,1,"1,4,6",2001-10-18,None,,,,,,
Saskatchewan,,James Smith,James Smith,James Smith,PWS,1,2,2012-06-27,2012-06-28,,,,,,
Saskatchewan,,James Smith,James Smith,James Smith,PWS,1,2,2012-11-05,2012-11-22,,,,,,
Saskatchewan,,James Smith,James Smith,James Smith,PWS,1,2,2013-03-28,2013-04-04,,,,,,
Alberta,Treaty 8,CHIPEWYAN PRAIRIE FIRST NATION,Chipewyan Prairie,Janvier ,PWS,1,5,2005-11-15,2005-11-18,,,,,,
Alberta,Treaty 8,CHIPEWYAN PRAIRIE FIRST NATION,Chipewyan Prairie,Janvier ,PWS,1,"2,5",2005-11-18,2005-11-29,,,,,,
Alberta,Treaty 8,CHIPEWYAN PRAIRIE FIRST NATION,Chipewyan Prairie,Janvier ,PWS,1,5,2006-11-25,2006-12-05,,,,,,
Alberta,Treaty 8,CHIPEWYAN PRAIRIE FIRST NATION,Chipewyan Prairie,Janvier ,PWS,1,"o,8",2010-05-06,2010-06-02,,,,,,
Alberta,Treaty 8,CHIPEWYAN PRAIRIE FIRST NATION,Chipewyan Prairie,Janvier ,PWS,1,"a,8",2011-04-04,2011-04-26,,,,,,
Alberta,Treaty 8,Little Red River Cree Nation,John D'or,John D'or Prairie ,PWS,1,"3,5,6",2004-12-18,2005-05-05,,,,,,
Alberta,Treaty 8,Little Red River Cree Nation,John D'or,John D'or Prairie ,PWS,1,"3,5",2005-05-05,2005-11-18,,,,,,
Alberta,Treaty 8,Little Red River Cree Nation,John D'or,John D'or Prairie ,PWS,1,5,2005-07-25,2005-10-21,,,,,,
Alberta,Treaty 8,Little Red River Cree Nation,John D'or,John D'or Prairie ,PWS,1,"3,5",2005-10-28,2006-01-18,,,,,,
Alberta,Treaty 8,Little Red River Cree Nation,John D'or,John D'or Prairie ,PWS,1,"2,5",2008-01-25,2008-02-06,,,,,,
Alberta,Treaty 8,Little Red River Cree Nation,John D'or,John D'or Prairie ,PWS,1,"1,5",2008-02-19,2008-04-16,,,,,,
Alberta,Treaty 8,Little Red River Cree Nation,John D'or,John D'or Prairie ,PWS,1,"2,5",2008-09-19,2008-09-26,,,,,,
Alberta,Treaty 8,Little Red River Cree Nation,John D'or,John D'or Prairie ,PWS,1,"o,11",2010-01-13,2010-01-22,,,,,,
Alberta,Treaty 8,Little Red River Cree Nation,John D'or,John D'or Prairie ,PWS,1,"o,13",2010-06-15,2010-06-24,,,,,,
Alberta,Treaty 8,Little Red River Cree Nation,John D'or,John D'or Prairie ,PWS,1,"p,14",2011-04-27,2011-05-16,,,,,,
Alberta,Treaty 9,Little Red River Cree Nation,John D'or,John D'or Prairie ,PWS,1,8,2011-07-13,2011-07-21,,,,,,
Alberta,Treaty 8,Little Red River Cree Nation,John D'or,John D'or Prairie ,PWS,1,"m,13",2011-11-25,2011-12-05,,,,,,
Alberta,Treaty 8,Little Red River Cree Nation,John D'or,John D'or Prairie ,PWS,1,"p,13",2012-03-27,2012-05-18,,,,,,
Alberta,Treaty 8,Little Red River Cree Nation,John D'or,John D'or Prairie ,PWS,1,"h,8",2012-05-28,2012-07-21,,,,,,
Alberta,Treaty 8,Little Red River Cree Nation,John D'or,John D'or Prairie ,PWS,1,"m,13",2012-08-30,2012-09-21,,,,,,
Alberta,Treaty 8,Little Red River Cree Nation,John D'or,John D'or Prairie ,PWS,1,"r,3",2013-01-11,2013-01-11,,,,,,
Alberta,Treaty 8,Little Red River Cree Nation,John D'or,John D'or Prairie ,PWS,1,"f,11",2013-04-29,2013-06-17,,,,,,
Alberta,Treaty 8,Little Red River Cree Nation,John D'or,John D'or Prairie ,PWS,1,"m,8",2014-01-16,2014-01-20,,,,,,
Alberta,Treaty 8,Little Red River Cree Nation,John D'or,John D'or Prairie ,PWS,1,"m,8",2014-06-04,2014-06-09,,,,,,
Alberta,Treaty 8,Little Red River Cree Nation,John D'or,John D'or Prairie ,PWS,1,"m,8",2014-07-17,2014-07-28,,,,,,
Alberta,Treaty 8,Beaver,Boyer River,Boyer River ,PWS,1,"h,11",2016-03-07,2016-03-14,,,,,,
Quebec,,Essipit,Essipit,ESS,PWS,1,6,2016-04-26,2016-05-13,,,,,,
Quebec,,Essipit ,Essipit,ESS,PWS,1,"3,4",2008-10-02,2008-11-19,,,,,,
Quebec,,Essipit ,Essipit,ESS,PWS,1,"2,3,4",2008-12-09,2009-01-08,,,,,,
Saskatchewan,,Kahkewistahaw,Kahkewistahaw,Kahkewistahaw,PWS,1,2,2011-06-06,2012-01-30,,,,,,
Saskatchewan,,Kahkewistahaw,Kahakewistahaw,Kahakewistahaw,PWS,1," 3,4",2006-06-08,2006-07-14,,,,,,
Saskatchewan,,Kahkewistahaw,Kahakewistahaw,Kahakewistahaw,PWS,1,3,2006-08-11,2006-11-02,,,,,,
Saskatchewan,,Kahkewistahaw,Kahakewistahaw,Kahakewistahaw,PWS,1,3,2010-05-27,2010-07-23,,,,,,
Saskatchewan,,Kahkewistahaw,Kahakewistahaw,Kahakewistahaw,PWS,1,3,2012-05-03,2012-06-06,,,,,,
Saskatchewan,,Kahkewistahaw,Kahakewistahaw,Kahakewistahaw,PWS,1,2,2012-06-18,2014-10-01,,,,,,
Saskatchewan,,Kahkewistahaw,Kahakewistahaw,Kahakewistahaw,PWS,DNC,8,2014-10-01,2015-06-03,,,,,,
Alberta,Treaty 8,Bigstone Cree Nation,Bigstone,Kapaskwatinak Cultural Educational Centre ,SPWS,1,4,2006-01-18,2006-09-29,,,,,,
Alberta,Treaty 8,Bigstone Cree Nation,Bigstone,Kapaskwatinak Cultural Educational Centre ,SPWS,1,4,2007-10-31,2008-04-01,,,,,,
Alberta,Treaty 8,Bigstone Cree Nation,Bigstone,Kapaskwatinak Cultural Educational Centre ,SPWS,1,"k,12",2014-08-28,2015-03-24,,,,,,
Ontario,Sioux Lookout,KASABONIKA LAKE,Kasabonika Lake,Kasabonika Lake,PWS,DNC,6,2005-04-12,2005-05-09,,,,,,
Ontario,Sioux Lookout,KASABONIKA LAKE,Kasabonika Lake,Kasabonika Lake,PWS,1,2,2011-09-13,2011-09-26,,,,,,
Ontario,Moose Factory,KASHECHEWAN,Kashechewan,Kashechewan,PWS,1,6,2015-11-28,2015-12-04,,,,,,
Ontario,Moose Factory,KASHECHEWAN,Kashechewan,Kashechewan,PWS,1,6,2015-09-21,2015-10-05,,,,,,
Ontario,Moose Factory,KASHECHEWAN,Kashechewan,Kashechewan,PWS,1,6,2015-08-06,2015-08-13,,,,,,
Ontario,Moose Factory,KASHECHEWAN,Kashechewan,Kashechewan,PWS,1,2,2010-01-12,2010-01-15,,,,,,
Ontario,Moose Factory,KASHECHEWAN,Kashechewan,Kashechewan,PWS,1,2,2010-01-19,2010-01-23,,,,,,
Ontario,Moose Factory,KASHECHEWAN,Kashechewan,Kashechewan,PWS,1,2,2010-03-07,2010-03-11,,,,,,
Ontario,Moose Factory,KASHECHEWAN,Kashechewan,Kashechewan,PWS,1,6,2012-11-29,2012-12-03,,,,,,
Ontario,Moose Factory,KASHECHEWAN,Kashechewan,Kashechewan,PWS,1,2,2012-12-28,2013-01-10,,,,,,
Ontario,Moose Factory,KASHECHEWAN,Kashechewan,Kashechewan,PWS,1,6,2013-03-12,2013-03-19,,,,,,
Ontario,Moose Factory,KASHECHEWAN,Kashechewan,Kashechewan,PWS,1,6,2013-04-10,2013-04-18,,,,,,
Ontario,Moose Factory,KASHECHEWAN,Kashechewan,Kashechewan,PWS,1,6,2013-04-27,2013-05-15,,,,,,
Ontario,Moose Factory,KASHECHEWAN,Kashechewan,Kashechewan,PWS,1,2,2013-06-22,2013-06-26,,,,,,
Ontario,Moose Factory,KASHECHEWAN,Kashechewan,Kashechewan,PWS,1,2,2013-07-09,2013-07-12,,,,,,
Ontario,Moose Factory,KASHECHEWAN,Kashechewan,Kashechewan,PWS,1,6,2013-08-04,2013-08-09,,,,,,
Ontario,Moose Factory,KASHECHEWAN,Kashechewan,Kashechewan,PWS,1,6,2013-09-10,2013-09-13,,,,,,
Ontario,Moose Factory,KASHECHEWAN,Kashechewan,Kashechewan,PWS,1,6,2013-11-18,2013-11-26,,,,,,
Ontario,Moose Factory,KASHECHEWAN,Kashechewan,Kashechewan,PWS,1,6,2013-12-11,2013-12-18,,,,,,
Ontario,Moose Factory,KASHECHEWAN,Kashechewan,Kashechewan,PWS,1,6,2014-03-09,2014-03-12,,,,,,
Ontario,Moose Factory,KASHECHEWAN,Kashechewan,Kashechewan,PWS,1,6,2014-03-17,2014-03-21,,,,,,
Ontario,Moose Factory,KASHECHEWAN,Kashechewan,Kashechewan,PWS,1,6,2014-06-07,2014-06-12,,,,,,
Ontario,Moose Factory,KASHECHEWAN,Kashechewan,Kashechewan,PWS,1,2,2003-07-22,2003-08-14,,,,,,
Ontario,Moose Factory,KASHECHEWAN,Kashechewan,Kashechewan,PWS,1,"4,5",2003-08-12,2006-06-23,,,,,,
Pacific,"Coastal District, Health Canada",OWEEKENO/WUIKINUXV NATION,Katit,Katit,PWS,1,2,2007-09-11,2007-09-13,,,,,,
Pacific,"Coastal District, Health Canada",OWEEKENO/WUIKINUXV NATION,Katit,Katit,PWS,1,"2,4,6",2008-02-04,2008-08-05,,,,,,
Pacific,"Central District, Health Canada",KATZIE,Katzie (Pitt Meadows),Katzie IR1 (Pitt Meadows) ,PWS,1,"1,5",2006-11-16,2006-11-17,,,,,,
Pacific,"Central District, Health Canada",KATZIE,Walnut Grove (Langley),Katzie IR2 Walnut Grove ,PWS,1,"1,5",2006-11-16,2006-11-22,,,,,,
Pacific,"Central District, Health Canada",KATZIE,Barnston Island,Katzie IR3 Barnston Island ,PWS,1,"1,5",2006-11-16,2006-11-17,,,,,,
Saskatchewan,,Kawacatoose,Kawacatoose,Kawacatoose,PWS,1,3,2007-01-25,2007-02-01,,,,,,
Saskatchewan,,Kawacatoose,Kawacatoose,Kawacatoose,PWS,1,3,2007-03-27,2007-06-01,,,,,,
Saskatchewan,,Kawacatoose,Kawacatoose,Kawacatoose,PWS,1,2,2010-07-03,2010-07-05,,,,,,
Saskatchewan,,Kawacatoose,Kawacatoose,Kawacatoose,PWS,1,2,2012-05-11,2013-01-31,,,,,,
Saskatchewan,,Kawacatoose,Kawacatoose,Kawacatoose,PWS,1,8,2016-02-22,2016-02-26,,,,,,
Saskatchewan,,Keeseekoose,Keeseekoose,Keeseekoose,PWS,1,3,2005-07-04,2006-11-23,,,,,,
Saskatchewan,,Keeseekoose,Keeseekoose,Keeseekoose,PWS,1,3,2005-11-23,2006-02-28,,,,,,
Saskatchewan,,Keeseekoose,Keeseekoose,Keeseekoose,PWS,1,"2,3",2006-04-27,2006-07-12,,,,,,
Saskatchewan,,Keeseekoose,Keeseekoose,Keeseekoose,PWS,1,2,2007-02-09,2007-06-05,,,,,,
Saskatchewan,,Keeseekoose,Keeseekoose,Keeseekoose,PWS,1,2,2008-08-20,2010-02-05,,,,,,
Ontario,Sioux Lookout,KEE-WAY-WIN,Keewaywin,Keewaywin,PWS,1,2,2009-10-29,2009-11-24,,,,,,
Ontario,Sioux Lookout,Kee-WAY-WIN,Keewaywin,Keewaywin,PWS,1,5,2012-02-11,2012-02-21,,,,,,
Ontario,Sioux Lookout,Kee-WAY-WIN,Keewaywin,Keewaywin,PWS,1,2,2014-02-17,2014-02-28,,,,,,
Ontario,Sioux Lookout,Kee-WAY-WIN,Keewaywin,Keewaywin,PWS,1,1,2014-09-28,2014-11-05,,,,,,
Ontario,Sioux Lookout,Kee-WAY-WIN,Keewaywin,Keewaywin,PWS,1,2,2016-02-02,2016-02-29,,,,,,
Ontario,Sioux Lookout,KEE-WAY-WIN,Keewaywin,Keewaywin,PWS,1,2,2002-03-18,2002-04-19,,,,,,
Ontario,Sioux Lookout,KEE-WAY-WIN,Keewaywin,Keewaywin,PWS,1,"2,4",2003-09-11,2003-09-23,,,,,,
Alberta,Treaty 6,Kehewin,Kehewin,Kehewin,PWS,1,"2, 3",2004-05-25,2004-06-11,,,,,,
Alberta,Treaty 6,Kehewin,Kehewin,Kehewin,PWS,1,2,2005-09-14,2005-10-14,,,,,,
Alberta,Treaty 6,Kehewin,Kehewin,Kehewin,PWS,1,"2,3,4,5,6",2006-06-02,2006-06-13,,,,,,
Alberta,Treaty 6,Kehewin,Kehewin,Kehewin,PWS,1,"2,3,4,5,6",2006-06-13,2007-02-09,,,,,,
Alberta,Treaty 6,Kehewin,Kehewin,Kehewin,PWS,1,"o,8",2010-11-29,2010-12-06,,,,,,
Alberta,Treaty 6,Kehewin,Kehewin,Kehewin,PWS,1,8,2011-03-25,2011-04-11,,,,,,
Alberta,Treaty 8,Kehewin,Kehewin,Kehewin,PWS,1,"r, 13",2011-04-03,None,,,,,,
Ontario,Sioux Lookout,LAC SEUL,Kejick Bay,Kejick Bay ,PWS,1,"1,2,3",2003-02-14,None,,,,,,
Ontario,Southern,CHIPPEWAS KETTLE & STONY POINT,Kettle Pt.,Kettle Pt.,PWS,1,2,2005-06-04,2005-06-10,,,,,,
Ontario,Southern,CHIPPEWAS KETTLE & STONY POINT,Kettle Pt.,Kettle Pt.,PWS,1,2,2006-01-26,2006-01-31,,,,,,
Ontario,Southern,CHIPPEWAS KETTLE & STONY POINT,Kettle Pt.,Kettle Pt.,PWS,1,"2,6",2011-08-22,2011-08-26,,,,,,
Saskatchewan,,Key,Key,Key,PWS,1,4,2006-08-10,2006-08-21,,,,,,
