Region,District,FirstNation,Community,Water System Name,System Type,Advisory Type,Advisory Reasons,Date Set,Date Revoked ,BAND_NUMBER,BAND_NAME,LONGITUDE,LATITUDE,COORD_SYS,
Alberta,Treaty 6,Four Band Administration,Pigeon Lake,Pigeon Lake Recreation Centre ,SPWS,1,4,2006-05-12,2006-05-23,,,,,,
Alberta,Treaty 6,Four Band Administration,Pigeon Lake,Pigeon Lake Recreation Centre ,SPWS,1,4,2006-08-14,2007-03-30,,,,,,
Alberta,Treaty 6,Four Band Administration,Pigeon Lake,Pigeon Lake Recreation Centre ,SPWS,1,4,2007-09-26,2007-12-21,,,,,,
Quebec,,Innu/Pessamit,Pessamit,PES,PWS,1,"2,6",2016-03-02,2016-03-04,,,,,,
Quebec,,Mashteuiatsh/Innu,Mashteuiatsh,MAS,PWS,1,"2,6",2013-02-22,2013-02-25,,,,,,
Ontario,Sioux Lookout,PIKANGIKUM,Pikangikum,Pikangikum,PWS,DNC,"2,6",2005-10-04,2005-10-17,,,,,,
Ontario,Sioux Lookout,PIKANGIKUM,Pikangikum,Pikangikum,PWS,1,2,2005-10-17,2011-12-06,,,,,,
Ontario,Sioux Lookout,PIKANGIKUM,Pikangikum,Pikangikum,PWS,DNC,1,2007-06-25,2007-08-10,,,,,,
Ontario,Sioux Lookout,PIKANGIKUM,Pikangikum,Pikangikum,PWS,1,2,2012-08-21,2013-04-11,,,,,,
Ontario,Sioux Lookout,PIKANGIKUM,Pikangikum,Pikangikum,PWS,1,2,2013-09-13,2014-03-19,,,,,,
Ontario,Sioux Lookout,PIKANGIKUM,Pikangikum,Pikangikum,PWS,1,1,2014-04-30,2015-05-13,,,,,,
Ontario,Sioux Lookout,PIKANGIKUM,Pikangikum,Pikangikum,PWS,1,6,2015-06-22,2015-07-20,,,,,,
Ontario,Sioux Lookout,PIKANGIKUM,Pikangikum,Pikangikum,PWS,1,4,2015-10-08,2015-11-02,,,,,,
Ontario,Sioux Lookout,PIKANGIKUM,Pikangikum,Pikangikum,PWS,1,6,2016-01-24,2016-02-16,,,,,,
Ontario,Sioux Lookout,PIKANGIKUM,Pikangikum,Pikangikum,PWS,1,2,2000-10-01,2002-07-08,,,,,,
Ontario,Sioux Lookout,PIKANGIKUM,Pikangikum,Pikangikum,PWS,DNC,2,2003-07-07,2003-07-24,,,,,,
Manitoba,,Pinaymootang,Fairford,Pinay Arena,SPWS,1,3,2014-08-29,2014-09-26,,,,,,
Manitoba,,Pinaymootang,Fairford,Pinay Arena,SPWS,1,r,2015-07-03,2015-07-10,,,,,,
Manitoba,,Pinaymootang,Fairford,Pinay Arena,SPWS,1,3,2015-08-17,None,,,,,,
Manitoba,,Pinaymootang,Fairford,Pinay Gas Bar ,SPWS,DNC,4,2012-08-24,None,,,,,,
Manitoba,,PINE CREEK,PINE CREEK,Pine Creek ,PWS,1,"2,3,4",2007-11-02,2007-11-23,,,,,,
Manitoba,,PINE CREEK,PINE CREEK,Pine Creek ,PWS,1,2,2003-05-01,2004-05-29,,,,,,
Saskatchewan,,Peepeekisis ,Peepeekisis,Poitras Well,PWS,1,8,2013-04-10,None,,,,,,
Manitoba,,Poplar River ,Poplar River,Polar River ,PWS,1,8,2011-12-20,2011-12-21,,,,,,
Ontario,Sioux Lookout,PIKANGIKUM,Pikangikum,Police Station ,SPWS,1,4,2006-09-21,None,,,,,,
Ontario,Sioux Lookout,POPLAR HILL,Poplar Hill,Poplar Hill,PWS,1,3,2006-07-18,2008-10-01,,,,,,
Ontario,Sioux Lookout,POPLAR HILL,Poplar Hill,Poplar Hill,PWS,1,2,2014-02-11,2014-03-28,,,,,,
Ontario,Sioux Lookout,POPLAR HILL,Poplar Hill,Poplar Hill,PWS,1,3,2015-07-01,2015-07-27,,,,,,
Ontario,Sioux Lookout,POPLAR HILL,Poplar Hill,Poplar Hill,PWS,1,3,2015-08-13,2015-08-31,,,,,,
Pacific,"Coastal District, Health Canada",HUPACASATH FIRST NATION,Ahahswinis,Port Alberni Water District,PWS,1,"1,5",2006-11-16,2006-12-07,,,,,,
Pacific,"Coastal District, Health Canada",HUPACASATH FIRST NATION,Ahahswinis,Port Alberni Water District,PWS,1,"1,5",2007-12-04,2007-12-11,,,,,,
Pacific,"Coastal District, Health Canada",TSESHAHT,Tsahaheh,Port Alberni Water District,PWS,1,"1,5",2006-11-16,2006-12-07,,,,,,
Pacific,"Coastal District, Health Canada",TSESHAHT,Tsahaheh,Port Alberni Water District,PWS,1,"1,5",2007-12-04,2007-12-11,,,,,,
Pacific,"Coastal District, Health Canada",LAX-KW'ALAAMS,Port Simpson,Port Simpson ,PWS,1,2,2003-08-15,2004-02-04,,,,,,
Atlantic,,PICTOU LANDING,Pictou Landing,Pictou Landing ,PWS,1,4,2001-05-14,2001-05-25,,,,,,
Saskatchewan,,Poundmaker,Poundmaker,Poundmaker ,PWS,1,3,2003-09-18,2009-08-19,,,,,,
Ontario,Sioux Lookout,KEE-WAY-WIN,Keewaywin,Previous  (well) DO NOT USE,PWS,DNC,6,2004-06-23,2008-04-23,,,,,,
Pacific,"Northern District, Health Canada",PROPHET RIVER FIRST NATION,Prophet River,Prophet River ,PWS,1,4,2002-09-02,2002-09-27,,,,,,
Alberta,Treaty 7,Stoney Tribe,Morley,Public Water Supply,PWS,1,"2,8",2009-09-16,2009-09-29,,,,,,
Ontario,Sioux Lookout,SLATE FALLS NATION,New Slate Falls,Pumphouse No. 1 ,PWS,1,"2,3,4",2004-07-07,None,,,,,,
Ontario,Thunder Bay,SHOAL LAKE NO.40,Shoal Lake No. 40,Pumphouse No. 1 ,PWS,1,"2, 4",1997-02-18,None,,,,,,
Ontario,Sioux Lookout,SLATE FALLS NATION,New Slate Falls,Pumphouse No. 2 ,PWS,1,"2,3,4",2004-07-07,None,,,,,,
Ontario,Thunder Bay,SHOAL LAKE NO.40,Shoal Lake No. 40,Pumphouse No. 2 ,PWS,1,"2, 3",1997-02-18,None,,,,,,
Ontario,Sioux Lookout,SLATE FALLS NATION,New Slate Falls,Pumphouse No. 3 ,PWS,1,"2,3,4",2004-07-07,None,,,,,,
Ontario,Thunder Bay,SHOAL LAKE NO.40,Shoal Lake No. 40,Pumphouse No. 3 ,PWS,1,"2, 3",1997-02-18,None,,,,,,
Ontario,Sioux Lookout,SLATE FALLS NATION,New Slate Falls,Pumphouse No. 4 ,PWS,1,"2,3,4",2004-07-07,None,,,,,,
Ontario,Thunder Bay,SHOAL LAKE NO.40,Shoal Lake No. 40,Pumphouse No. 4 ,PWS,1,"2, 3",1997-02-18,None,,,,,,
